No.,Gh id,Lon,Lat,Elev,Sname,ELID,Year,Month,RF_30Yrs_Normal
75,SHADDI12,38.79871,8.981081,2354,Addis Ababa Bole,PRECIP,2022,8,241.8
76,SHADDI21,38.7475,9.01891,2386,AAO,PRECIP,2022,8,289.2
77,SHALEM11,39.033333,10.033333,2280,Alemketema,PRECIP,2022,8,340.2
78,SHAMBO11,37.83967,8.984667,2068,AMBO,PRECIP,2022,8,208.3
79,SHARER43,39.423056,8.928889,1806,Arerti,PRECIP,2022,8,227
80,SHBUI_11,38.554444,8.330833,2054,Bui,PRECIP,2022,8,201.4
81,SHDEBR11,39.5,9.633333,2750,D/BREHAN,PRECIP,2022,8,271.6
82,SHDEBR42,38.95,8.733333,1900,DEBREZEIT(AF),PRECIP,2022,8,211.2
83,SHEJAJ31,37.316667,8.99,1732,Ejaji,PRECIP,2022,8,265.6
84,SHENEW11,39.15,9.83,2561,Enewari,PRECIP,2022,8,332.2
85,SHFICH11,38.7333,9.7667,2784,Fiche,PRECIP,2022,8,319.7
86,SHGUND11,38.71667,10.1833,2480,GUNDOMESKEL,PRECIP,2022,8,356.3
87,SHHOSA11,37.85383,7.5673,2307,HOSSAINA,PRECIP,2022,8,174.6
88,SHIMDI31,37.936,8.1183,2082,Indiber,PRECIP,2022,8,255.9
89,SHKACH31,37.86,9.583333,2520,KACHISE,PRECIP,2022,8,415.4
90,SHMAJE11,39.85,10.5,2000,MAJETE,PRECIP,2022,8,307.3
91,SHMEHA11,39.66025,10.3146,3084,MEHALMEDA,PRECIP,2022,8,256.7
92,SHMETE12,39.919,8.858667,944,Metehara (NMSA),PRECIP,2022,8,117
93,SHNAZE11,39.283333,8.55,1622,Nazreth,PRECIP,2022,8,227
94,SHNURA11,39.9,8.08333,1140,NURA-ERA,PRECIP,2022,8,132.7
95,SHSHEW11,39.89436,10.0127,1277,SHEWAROBIT,PRECIP,2022,8,214
96,SHSHOL11,39.55,9.218,2500,SHOLAGEBAYA,PRECIP,2022,8,260.3
97,SHWOLI11,37.983333,8.55,2058,GHION,PRECIP,2022,8,272.8
98,SHZIWA11,38.7,7.933333,1640,Ziway,PRECIP,2022,8,123.2
99,SIAWAS32,38.483056,7.065,1694,Awassa,PRECIP,2022,8,119.6
100,SIBILL11,38.08333,6.81667,1361,BLATE,PRECIP,2022,8,74
101,SIBORE31,38.61667,6.35,2712,BORE,PRECIP,2022,8,183.7
102,SIBURJ21,37.86797,5.48447,1815,BURJI,PRECIP,2022,8,59.5
103,SIDILL11,38.3,6.3667,1579,DILLA,PRECIP,2022,8,120.1
104,SIHAGE11,38.233333,5.65,1861,HAGEREMARIAM,PRECIP,2022,8,43.7
105,SIKIBR21,38.966667,5.866667,1680,KIBREMENGIST,PRECIP,2022,8,36.1
106,SIMOYA11,39.03333,3.55,1166,MOYALE,PRECIP,2022,8,6.3
107,SINEGH22,39.566667,5.416667,1544,Negele,PRECIP,2022,8,3.9
108,SIWERA11,38.191,7.8505,2057,WERABE,PRECIP,2022,8,170.7
109,SIWOLA11,37.73,6.81,1854,Wolaita Sodo,PRECIP,2022,8,173.6
110,SIYABE31,38.1,4.88,1729,YABELO,PRECIP,2022,8,9.3
111,TIABAL11,39.76,13.34,1441,ABEALA,PRECIP,2022,8,169.3
112,TIADIG11,39.44683,14.27814,2497,ADIGRAT,PRECIP,2022,8,135.1
113,TIADWA11,38.877825,14.180802,1911,ADEWA,PRECIP,2022,8,268.2
114,TIATSE21,39.741419,13.8832,2711,ATSEBI,PRECIP,2022,8,181.1
115,TICHER11,39.766867,12.542294,1781,CHERCHER,PRECIP,2022,8,186.3
116,TIMAIC21,39.5337,12.78413,2432,MAICHEW,PRECIP,2022,8,216.2
117,TIMAY_11,38.14506,13.58914,1349,MYTSEBRI,PRECIP,2022,8,434.3
118,TIMEKE12,39.5312,13.47051,2257,Mekele,PRECIP,2022,8,222.7
119,TIMEKE21,39.4668,13.5244,2000,AIDERMQO,PRECIP,2022,8,223
120,TINEBE11,39.28,14.1,1988,NEBELETE,PRECIP,2022,8,245
121,TISAMR14,39.20444,13.18128,2071,SAMRE,PRECIP,2022,8,235.7
122,TISENK11,39.56873,14.06415,2437,SENKATA,PRECIP,2022,8,191.5
123,TISHIR11,38.29457,14.10172,1897,SHIRE,PRECIP,2022,8,265.1
124,TISHIR21,37.76129,14.38859,1033,SHIRARO,PRECIP,2022,8,235.8
125,WEARJO21,36.5,8.75,2565,AREJO,PRECIP,2022,8,349
126,WEASSO11,34.516667,10,1600,ASSOSSA,PRECIP,2022,8,214.7
127,WEAYIR11,35.55,9.1,1555,AIRA,PRECIP,2022,8,292.1
128,WEBEGI21,34.533333,9.333333,1650,BEGI,PRECIP,2022,8,194.9
129,WECHEW11,36.16,8.92,1272,CHEWKA,PRECIP,2022,8,262.9
